gene	01_SW_sgCTRL_Norm	02_SW_sgCTRL_Norm	17_SW_sgRELB_3_Hyp	18_SW_sgRELB_3_Hyp
ZNF707	0	0	0	0
LINC02878	0	0	0	0
CCDC166	0	0	0	0
LOC101928160	0	0	0	0
MAPK15	0	0	0	0
FAM83H	0	0	0	0
MIR4664	0	0	0	0
IQANK1	0	0	0	0
LOC105375800	0	0	0	0
SCRIB	0	0	0	0
MIR937	0	0	0	0
PUF60	6	5	9	3
LOC107986985	49	43	51	64
NRBP2	495	359	938	989
MIR6845	1	2	6	3
EPPK1	30	25	55	57
PLEC	17206	13968	22314	24934
MIR661	0	0	0	0
PARP10	475	347	650	676
GRINA	2704	2063	2701	2993
SPATC1	5	3	7	6
SMPD5	38	20	9	19
OPLAH	459	349	438	455
MIR6846	0	0	0	0
EXOSC4	813	510	324	366
MIR6847	1	2	2	1
GPAA1	1997	1488	1764	1902
CYC1	3536	2598	2203	2289
SHARPIN	636	452	689	703
MAF1	2559	1920	2310	2425
WDR97	19	15	21	16
HGH1	684	527	540	611
MROH1	1212	979	1544	1612
BOP1	1862	1487	1052	1137
MIR7112	1	1	3	10
SCX	95	67	178	165
HSF1	24	17	21	13
DGAT1	0	0	0	0
MIR6848	0	0	0	0
SCRT1	0	0	0	0
TMEM249	0	0	0	0
FBXL6	0	0	0	0
SLC52A2	1	0	0	0
LOC101928902	0	0	0	0
ADCK5	7	4	4	2
CPSF1	27	19	31	13
MIR939	0	0	0	0
MIR1234	0	0	0	0
MIR6849	0	0	0	0
SLC39A4	19	8	13	7
VPS28	4	7	6	5
TONSL	850	595	583	563
TONSL-AS1	15	12	11	16
MIR6893	1	0	0	0
CYHR1	564	397	742	784
MIR10400	0	0	0	0
KIFC2	639	536	918	942
FOXH1	3	3	11	9
PPP1R16A	587	455	718	834
LOC101928953	20	20	56	52
GPT	5	7	32	33
MFSD3	670	449	500	496
RECQL4	2414	1851	2420	2520
LRRC14	796	623	799	841
LRRC24	0	0	0	0
C8orf82	445	315	471	524
ARHGAP39	427	329	509	513
LOC100996662	0	0	0	0
ZNF251	1	1	1	1
LOC107986986	0	1	2	1
LOC105375805	3	0	9	7
ZNF34	69	46	100	121
RPL8	27508	20382	17633	18162
MIR6850	0	0	0	0
ZNF517	72	55	146	143
LOC100130027	30	16	57	78
ZNF7	269	253	384	365
COMMD5	465	346	517	482
ZNF250	168	134	224	238
ZNF16	140	107	175	167
ZNF252P	474	356	742	731
TMED10P1	54	32	72	69
ZNF252P-AS1	7	4	18	12
C8orf33	1604	1220	1267	1181
DDX11L5	0	0	0	0
WASHC1	342	270	429	430
MIR1302-9HG	0	0	1	0
MIR1302-9	0	0	0	0
FAM138C	0	0	0	0
PGM5P3-AS1	1	1	0	0
LINC01388	0	0	1	0
FOXD4	0	0	3	2
CBWD1	344	288	376	349
LOC105375942	0	0	1	0
LOC105375943	0	0	0	0
DOCK8	213	183	377	380
DOCK8-AS1	12	9	21	19
LOC105375945	0	0	0	0
DOCK8-AS2	0	0	2	1
KANK1	197	151	439	504
LOC105375947	1	0	3	6
LOC107987042	0	0	0	1
LOC105375949	0	0	0	0
DMRT1	4	1	8	4
DMRT3	4	0	26	26
DMRT2	3	0	0	3
LINC01230	0	0	0	0
LOC102723803	0	0	0	0
LOC105375951	0	0	0	0
LOC105375953	0	0	0	0
LOC105375952	0	0	0	0
SMARCA2	1756	1354	3342	3541
LOC107987043	10	7	38	32
LOC105375955	0	0	0	0
LOC101930053	7	7	32	29
LOC105375956	0	1	0	0
LOC101930048	5	3	14	24
VLDLR-AS1	10	7	31	20
VLDLR	1770	1368	5932	5847
LOC105375957	1	0	0	0
KCNV2	1	5	0	2
PUM3	1926	1533	1317	1259
LINC01231	0	0	0	0
LOC105375959	0	0	0	0
RFX3	156	127	223	211
RFX3-DT	1	0	2	1
LOC105375962	0	0	0	0
GLIS3	13	11	82	72
GLIS3-AS1	0	0	0	0
LOC105375964	0	0	0	0
GLIS3-AS2	0	0	0	0
SLC1A1	75	49	116	98
SPATA6L	27	15	37	27
PLPP6	244	193	312	272
CDC37L1-DT	5	2	13	5
CDC37L1	245	201	343	313
AK3	3242	2592	3346	3139
RCL1	644	457	408	431
MIR101-2	0	0	0	0
JAK2	185	147	323	244
INSL6	0	0	0	0
LOC107987044	0	0	0	0
INSL4	0	0	0	0
RLN2	14	10	20	27
RLN1	1	3	1	5
PLGRKT	115	89	132	114
CD274	14	11	19	14
PDCD1LG2	1	1	3	1
RIC1	534	419	885	843
ERMP1	2624	2094	779	801
KIAA2026	587	511	808	836
MLANA	4	2	6	1
MIR4665	0	0	0	0
RANBP6	878	789	1053	922
IL33	5	0	0	0
LOC107987046	0	0	0	0
TPD52L3	0	0	0	0
UHRF2	882	679	971	990
GLDC	2	2	2	1
LINC02851	0	0	0	1
KDM4C	602	432	961	1008
LOC105375969	1	0	0	0
LOC105375970	0	0	0	0
LOC102723994	0	0	0	0
DMAC1	779	641	848	784
LOC105375971	0	0	0	0
PTPRD	0	0	1	0
PTPRD-AS1	0	0	0	0
LOC105375972	0	0	0	0
PTPRD-DT	0	0	0	0
LOC102724027	0	0	0	0
LOC105375974	0	0	0	0
LOC105375975	0	0	0	0
LOC101929446	0	0	0	0
LOC105375976	0	0	0	0
TYRP1	0	5	0	0
LURAP1L-AS1	0	0	0	0
LURAP1L	2	3	2	7
SNORD137	0	0	0	0
LOC107987047	0	0	0	0
MPDZ	0	0	0	0
LINC01235	0	0	0	0
LOC105375977	0	0	0	0
LOC101929507	0	0	0	0
LINC00583	0	0	0	0
NFIB	500	404	672	661
TRH-GTG1-6	0	0	0	0
ZDHHC21	596	510	853	735
CER1	0	0	0	0
FREM1	0	0	0	0
LOC105375979	0	0	0	0
LOC105375980	0	0	0	0
LOC389705	0	0	0	1
TTC39B	146	108	186	141
SNAPC3	631	487	1015	1043
PSIP1	2733	2318	3376	3508
CCDC171	71	55	122	104
LOC107987049	0	0	0	0
C9orf92	0	0	2	1
BNC2	71	57	158	152
BNC2-AS1	0	0	2	1
LOC105375983	0	0	0	0
CNTLN	136	138	179	177
LOC107987051	0	0	0	0
SH3GL2	1	0	0	1
LOC105375987	0	0	0	0
ADAMTSL1	3	2	8	8
LOC107986990	0	0	0	0
LOC105369293	0	0	0	0
MIR3152	0	0	0	0
LOC102724102	0	0	0	0
LOC105375985	0	0	0	0
SAXO1	4	3	7	8
RRAGA	2398	1815	4063	4123
HAUS6	1837	1642	1211	1284
SCARNA8	4	2	4	1
PLIN2	2035	1512	1220	1234
DENND4C	1171	935	1432	1353
RPS6	33629	26171	23229	23298
ACER2	51	29	69	60
LOC105375988	0	0	0	0
SLC24A2	4	5	12	5
MLLT3	276	218	399	432
MIR4473	0	0	0	0
MIR4474	0	0	0	0
LOC107987052	0	0	0	0
FOCAD	950	819	1034	1064
FOCAD-AS1	4	3	4	1
MIR491	0	0	0	0
SNORA30B	0	0	0	0
HACD4	4	8	4	3
LOC105375989	0	0	0	0
IFNB1	0	0	0	0
IFNW1	0	0	0	0
IFNA21	0	0	0	0
IFNA4	0	0	0	0
IFNA7	0	0	0	0
IFNA10	0	0	0	0
IFNA16	0	0	0	0
IFNA17	0	0	0	0
IFNA14	0	0	0	0
LOC107987053	3	2	4	6
IFNA22P	0	0	0	2
IFNA5	0	0	0	0
KLHL9	643	499	1579	1404
IFNA6	0	0	0	0
IFNA13	0	0	0	0
IFNA2	0	0	0	0
IFNA8	1	0	1	0
IFNA1	0	0	0	0
MIR31HG	19	12	57	76
IFNE	5	1	4	5
MIR31	0	0	0	0
LOC107987026	0	0	0	0
MTAP	1835	1527	1473	1372
CDKN2A-DT	1	1	2	2
CDKN2A	890	662	1036	1050
CDKN2B-AS1	30	21	50	36
CDKN2B	231	154	359	382
DMRTA1	0	1	0	0
LINC01239	0	0	0	0
LOC107987054	0	0	0	0
LOC105375990	0	0	0	0
LOC107987055	0	0	0	0
LOC105369298	0	0	0	0
LOC101929563	2	2	0	0
ELAVL2	79	49	32	20
LOC105375992	1	0	0	0
LOC105375993	0	1	0	0
LOC105375994	0	0	0	0
IZUMO3	0	0	0	0
LOC107987056	0	0	0	0
LOC105375996	0	0	0	0
LOC105375997	0	0	0	0
TUSC1	0	0	0	0
LINC01241	0	0	0	0
LOC100506422	0	0	0	0
LOC107987027	0	0	0	0
LOC105375999	0	0	0	0
LOC105369289	0	0	0	0
LOC105376000	0	2	7	6
LOC107987028	0	0	0	1
CAAP1	810	686	988	882
PLAA	1519	1163	1658	1611
IFT74	462	437	510	469
IFT74-AS1	0	0	0	0
LRRC19	2	0	2	1
TEK	1	0	3	2
LINC00032	0	0	1	0
EQTN	0	0	0	0
MOB3B	3	1	23	22
LOC105376001	0	0	0	0
IFNK	0	0	0	0
LOC112268043	0	1	0	0
LOC107987057	1	0	0	0
C9orf72	100	74	137	131
LOC105376002	0	0	0	0
LINGO2	2	0	1	0
LOC105376004	0	0	0	0
LOC105376003	0	0	0	0
MIR876	0	0	0	0
MIR873	0	0	0	0
LOC105376005	0	0	0	0
LINC01242	0	0	0	0
LOC107987029	0	0	0	0
LOC105376009	0	0	0	0
LINC01243	0	0	0	0
LOC105376010	1	0	1	6
LOC105376013	0	0	0	0
LOC105376011	0	0	0	0
LOC107987059	0	0	0	0
ACO1	1122	943	1371	1400
DDX58	210	180	255	244
TOPORS	984	831	973	980
SMIM27	44	38	48	51
NDUFB6	904	745	868	805
LOC105376015	0	0	0	0
TAF1L	5	0	5	3
LOC105376017	0	0	0	0
LOC105376016	0	0	0	0
TMEM215	0	0	0	0
LOC107987060	0	0	2	1
APTX	770	581	826	793
DNAJA1	7856	6258	5543	5556
SMU1	1840	1542	2068	1886
B4GALT1	1035	816	1717	1671
MIR12117	0	0	0	0
B4GALT1-AS1	5	8	7	7
SPINK4	0	0	0	1
BAG1	900	688	1048	1016
CHMP5	1355	1092	1722	1727
NFX1	1385	1054	1455	1497
LOC105376018	1	1	1	0
AQP7	1	0	0	0
LOC105376020	0	0	0	0
AQP3	18	7	28	36
NOL6	1810	1362	1357	1403
MIR6851	0	0	1	0
LOC107987061	0	0	1	0
SUGT1P1	2	1	14	10
ANKRD18B	0	0	2	1
ANXA2P2	513	422	896	916
PTENP1	4	5	4	5
PTENP1-AS	0	0	0	0
LINC01251	0	0	0	0
PRSS3	437	322	416	467
UBE2R2	1487	1144	1778	1856
UBAP2	3193	2579	2997	3202
SNORD121B	0	0	0	0
SNORD121A	1	1	0	2
DCAF12	2559	1994	2344	2375
UBAP1	1496	1174	1626	1678
LOC114224	1	0	1	3
KIF24	587	422	769	800
NUDT2	145	99	225	237
MYORG	1657	1319	2518	2553
C9orf24	3	1	21	18
FAM219A	618	438	1593	1615
DNAI1	3	5	3	6
ENHO	38	30	199	216
CNTFR	29	22	67	74
CNTFR-AS1	0	0	2	2
LOC105376023	0	1	2	1
RPP25L	530	364	529	552
DCTN3	795	614	1370	1373
ARID3C	3	4	11	19
SIGMAR1	6187	4591	2908	2922
GALT	479	350	693	697
IL11RA	70	72	198	169
CCL27	2	3	3	1
LOC730098	36	44	54	57
LOC107987063	14	15	43	34
CCL19	0	0	0	0
CCL21	0	0	0	0
FAM205A	0	0	0	0
PHF24	35	23	41	74
FAM205BP	0	0	0	0
FAM205C	0	0	1	0
DNAJB5-DT	0	1	0	1
DNAJB5	193	140	410	526
LOC105376025	1	0	4	4
C9orf131	2	2	6	2
VCP	18577	14461	25311	25604
FANCG	1984	1551	1784	1860
PIGO	1973	1507	2535	2620
STOML2	5914	4411	4041	4420
FAM214B	384	291	851	938
UNC13B	1337	1084	1527	1689
ATP8B5P	2	3	3	1
RUSC2	656	473	1172	1139
LOC105376026	0	0	0	0
FAM166B	3	1	6	9
TESK1	791	573	1186	1339
MIR4667	0	0	0	0
CD72	34	15	93	101
LOC101926948	7	9	17	19
SIT1	0	0	0	0
RMRP	7	7	2	1
CCDC107	62	31	72	65
ARHGEF39	737	600	763	769
CA9	29	19	509	514
TPM2	433	329	1020	1087
TLN1	9686	8202	14009	14913
MIR6852	0	0	0	0
CREB3	1598	1182	1947	2109
MIR6853	0	0	0	0
GBA2	1866	1317	1870	1941
RGP1	1886	1504	2470	2489
MSMP	0	0	0	0
NPR2	136	104	169	156
SPAG8	14	14	39	33
HINT2	761	561	871	852
FAM221B	0	0	4	2
TMEM8B	83	90	334	333
OR13J1	0	0	1	0
HRCT1	25	30	95	93
SPAAR	3	2	14	19
OR2S2	0	0	0	0
RECK	169	143	317	334
GLIPR2	235	183	412	432
CCIN	1	0	2	1
CLTA	6233	4790	6040	6245
GNE	741	568	677	576
LOC102724322	15	12	45	50
RNF38	1418	1194	1926	1757
MELK	3359	2685	2780	2553
LOC105376030	2	1	1	0
MIR4475	0	0	0	0
PAX5	149	118	190	185
MIR4540	0	0	0	0
MIR4476	0	0	0	0
LOC105376032	0	0	0	0
LOC105376031	0	0	1	0
EBLN3P	3020	2419	3103	2878
LOC105376034	1	1	5	2
ZCCHC7	863	720	722	726
LOC105376033	18	12	7	8
LOC105376035	1	0	1	2
LINC01627	0	0	0	0
GRHPR	2380	1813	2481	2663
ZBTB5	668	515	938	927
POLR1E	1333	981	871	857
FBXO10	414	343	321	374
TOMM5	2992	2396	2083	1903
FRMPD1	21	11	42	46
TRMT10B	439	376	530	576
EXOSC3	1451	1131	959	964
LOC105376037	14	10	17	12
DCAF10	1392	1174	1502	1405
SLC25A51	362	318	370	336
SHB	879	717	794	835
LOC105376039	2	4	3	11
LOC107987064	0	0	0	0
LOC107987065	0	0	0	0
LOC105376040	0	0	0	0
ALDH1B1	1433	1089	974	998
IGFBPL1	45	28	79	95
LOC105376041	0	0	6	5
LOC105376042	2	0	3	5
FAM95C	25	18	22	33
ANKRD18A	167	154	191	174
FAM201A	112	88	136	146
FAM240B	0	0	0	0
LOC105376043	0	0	0	0
LOC105376044	0	0	0	0
LOC101927042	0	0	0	0
CNTNAP3	23	13	52	51
LOC105376045	0	0	0	0
SPATA31A1	0	0	0	0
FAM74A1	0	0	0	0
ZNF658B	5	5	6	14
LOC105376046	0	0	0	0
GLIDR	115	89	104	93
FGF7P3	7	5	7	7
LOC554249	0	0	0	0
LOC105376050	0	0	0	0
LOC107986992	0	0	0	0
LOC107986991	21	12	11	12
LOC112268033	0	0	0	0
LOC112268034	0	0	0	0
LOC102724431	0	0	0	0
LOC105369249	0	0	0	0
ANKRD20A2P	0	0	0	0
FAM95B1	0	0	0	0
GXYLT1P3	0	0	0	0
LOC107986995	0	0	0	0
LOC102724580	0	1	0	0
BMS1P14	0	0	0	0
LOC107984006	0	0	0	0
LOC107986993	0	0	0	0
LOC100132004	0	0	0	0
MIR1299	0	0	0	0
LOC107986997	6	7	9	2
FRG1HP	253	201	341	307
PGM5P2	44	29	48	54
LOC105376058	0	0	1	0
LOC440896	0	0	0	2
FOXD4L6	0	0	1	0
CBWD6	66	54	54	39
LOC107986998	0	0	0	0
MIR4477A	0	0	0	0
LOC107984035	25	12	46	51
LOC112268035	1	2	1	5
LOC105376065	0	0	0	1
LOC101928906	1	1	0	1
FAM27E2	0	0	0	1
FAM242F	0	0	0	0
LOC107987000	5	3	5	5
LOC105376063	1	0	0	0
CNTNAP3B	19	11	41	43
SPATA31A6	0	0	0	0
FAM74A7	0	0	0	0
LOC112268036	0	0	0	0
LOC103908605	0	0	0	2
LOC101927827	0	0	0	0
XLOC_007697	0	0	0	0
LOC102724818	0	0	0	0
LOC112268044	0	0	0	1
LOC105376067	0	0	0	0
LOC102724904	0	0	0	0
LOC105379434	0	0	0	0
SPATA31A5	0	0	0	0
LOC107987066	0	0	0	0
FAM74A6	0	0	0	0
LOC107984126	0	0	0	0
LOC105379249	0	0	0	0
SPATA31A7	0	0	0	0
FAM74A4	0	0	0	0
LOC105379435	0	0	0	0
CNTNAP3C	0	4	4	1
LOC105379437	0	0	0	0
FAM242D	0	0	0	0
FAM27C	0	0	3	2
FAM27E4	10	7	5	5
LOC105379807	0	0	0	0
LOC102723678	2	0	0	0
FAM242E	0	0	0	0
LOC107987007	1	4	8	7
LOC107987010	0	0	0	0
LOC101930026	2	1	0	0
LOC100132874	0	0	1	1
LOC107987008	0	0	0	0
LOC105379439	0	0	0	0
LOC105379263	0	0	0	0
LOC102724238	0	0	0	0
FGF7P6	3	1	1	1
LINC01189	0	0	0	0
LOC103908604	1	2	0	2
LINC01410	13	10	14	37
LOC100132249	8	10	28	17
PTGER4P2-CDK2AP2P2	1	1	5	8
LERFS	1	0	1	3
LOC728673	24	10	24	20
LOC107987006	0	0	0	0
LOC107987004	0	0	0	0
LOC107987003	0	0	0	0
LOC286297	0	0	0	0
LOC105379814	0	0	0	0
AQP7P1	0	0	0	0
LOC100996643	0	0	0	0
LOC105379442	0	0	0	0
LOC107987009	0	0	0	0
LOC105379255	0	0	0	0
LINC00537	47	27	109	94
MIR4477B	0	0	0	0
FRG1JP	16	14	10	9
FLJ43315	0	0	0	0
ANKRD20A4-ANKRD20A20P	1	3	2	6
LOC105379257	0	0	0	0
LOC101929583	0	0	0	0
LOC107987067	0	0	0	0
LOC107987068	0	0	0	0
LOC100132154	0	0	0	0
LOC102724507	0	0	0	0
LOC105379443	0	0	0	0
LOC112268045	0	0	0	0
FOXD4L5	0	0	0	0
LOC105379444	1	2	3	2
LOC107987069	0	0	0	0
LOC105379445	0	0	0	0
LOC105379446	0	0	0	0
LOC105379447	0	0	0	0
LOC105379251	0	0	1	0
CBWD5	99	86	84	82
LOC105379250	0	0	0	0
FOXD4L4	0	0	0	0
LOC101928381	0	0	0	0
LOC107987070	0	0	0	0
LOC107987071	0	0	0	0
LOC101928195	0	0	0	0
LOC112267859	0	0	0	0
AQP7P3	0	0	0	0
LOC105379252	0	0	0	0
ANKRD20A3P	0	0	0	0
LOC642929	0	0	0	0
LOC107987072	58	41	39	35
LOC107987073	0	1	1	4
LOC105379448	0	0	0	0
ZNF658	24	24	48	55
FAM74A3	0	0	0	0
SPATA31A3	0	0	1	0
LOC105379450	0	0	0	0
CNTNAP3P2	5	6	7	12
LOC101927602	0	0	0	0
LOC105379451	0	0	0	0
LOC105379452	0	0	0	0
LOC107987074	0	0	1	0
LOC105379453	0	0	0	0
LOC102723709	0	0	0	0
FAM27E3	16	12	14	10
FAM27B	1	4	2	0
LOC107987076	0	0	0	0
LOC101928608	0	0	0	0
ANKRD20A1	1	0	4	2
LOC644249	1	0	0	0
CBWD3	4	4	1	10
FOXD4L3	0	0	0	0
LOC107987077	0	0	0	0
LOC101929800	0	0	0	0
LOC102723624	0	0	0	0
PGM5-AS1	0	0	0	0
PGM5	10	6	27	20
LOC105376070	0	0	0	2
TMEM252	0	0	0	0
TMEM252-DT	0	0	0	0
LINC01506	0	0	0	0
LOC105376071	0	0	0	0
PIP5K1B	414	325	2125	2166
PABIR1	515	408	824	806
LOC101927069	0	0	1	1
PRKACG	0	0	0	1
FXN	790	596	697	679
TJP2	4719	3640	6067	6043
BANCR	0	0	0	0
FAM189A2	76	61	150	140
LOC105376074	0	0	0	0
APBA1	8	11	47	57
PTAR1	2217	1972	3125	2871
LOC105376076	0	1	1	3
CFAP95-DT	0	0	0	0
CFAP95	0	0	0	1
MAMDC2	4	5	29	34
MAMDC2-AS1	0	0	0	1
SMC5-DT	8	11	17	16
SMC5	2653	2193	2619	2429
KLF9	977	718	1145	1121
KLF9-DT	0	6	10	10
LOC105376079	0	0	0	0
TRPM3	12	5	46	34
LOC107984011	77	59	97	97
LOC105376078	0	0	0	0
MIR204	0	0	0	0
LOC107987078	0	0	0	0
LOC107987079	0	0	1	0
CEMIP2	3730	2971	8875	9044
ABHD17B	789	579	1164	1139
C9orf85	445	311	449	451
LOC101927108	0	0	0	1
C9orf57	0	0	1	0
GDA	93	77	342	346
LINC01504	0	1	1	1
ZFAND5	5510	4364	6466	5991
LOC105376080	28	26	26	35
TMC1	3	1	3	3
LOC101927234	5	6	28	19
LOC101927191	0	0	0	0
LINC01474	1	0	0	3
ALDH1A1	0	0	0	0
LOC105376081	0	0	0	0
ANXA1	137	79	635	652
LOC105376082	0	0	0	0
LOC101927281	0	0	0	0
LOC105376084	0	0	0	0
LOC105376083	0	0	0	0
LOC102723850	0	0	0	0
LOC105376085	0	0	0	0
LOC105376086	0	0	0	0
LOC101927329	0	1	0	0
LOC105376087	0	0	0	0
LOC101927358	0	0	0	0
RORB-AS1	0	0	0	0
RORB	0	0	0	0
LOC105376088	0	0	0	0
TRPM6	32	19	70	88
C9orf40	417	317	359	391
CARNMT1-AS1	2	0	2	4
CARNMT1	1085	869	732	625
NMRK1	466	387	644	637
OSTF1	751	597	829	842
LOC105376090	1	1	0	0
LOC107987080	0	0	0	0
LOC105376091	0	0	0	0
PCSK5	760	670	1780	1753
RFK	1109	891	485	423
RPSAP9	22	12	11	20
GCNT1	288	231	369	318
LOC105376093	0	0	1	1
LOC105376095	4	1	6	6
PRUNE2	62	42	70	62
PCA3	0	0	0	0
FOXB2	0	0	0	0
LOC105376096	0	0	0	0
VPS13A-AS1	0	0	0	0
VPS13A	1887	1535	2126	2085
GNA14	2	1	3	4
GNA14-AS1	0	0	0	0
GNAQ	2009	1713	2623	2507
LOC107987081	0	0	0	0
LOC107987031	1	0	2	2
CEP78	4291	3536	4705	4539
PSAT1	8558	6790	4121	3951
LOC107987083	0	0	1	0
LOC105376097	1	2	4	1
LOC101927450	0	0	0	0
LNCARSR	0	0	0	0
TLE4	906	664	532	517
LINC01507	0	0	0	0
LOC105376101	0	0	0	0
LOC105376100	0	0	0	0
LOC105376099	0	0	0	0
LOC105376103	0	0	0	0
LOC107987084	0	0	0	0
LOC105376105	0	0	0	0
LOC107987085	0	0	0	0
TLE1	315	258	1223	1268
LOC105376106	0	0	2	0
TLE1-DT	1	0	0	0
LOC105376108	0	0	0	0
SPATA31D5P	0	0	0	0
SPATA31D4	0	0	0	0
SPATA31D3	0	0	0	0
LOC105376107	0	0	0	1
SPATA31D1	0	0	0	1
LOC112268046	0	0	0	0
LOC107987086	0	0	0	0
LOC107987087	0	0	0	1
LOC105376110	0	0	0	0
RASEF	5	6	2	9
LOC112268037	1	0	1	0
FRMD3-AS1	0	0	0	3
FRMD3	41	37	160	177
IDNK	46	61	129	115
UBQLN1	6677	5436	7693	7463
UBQLN1-AS1	46	17	77	86
GKAP1	111	113	183	183
LOC101927552	0	0	2	0
KIF27	96	60	155	133
LOC105376335	0	0	0	0
C9orf64	893	698	931	947
HNRNPK	24899	19660	20877	20427
MIR7-1	12	6	17	4
RMI1	1439	1170	1450	1360
LOC101927575	0	0	0	1
SLC28A3	0	0	1	0
LOC105376116	0	0	0	0
LOC102724036	0	0	0	1
NTRK2	329	281	4350	4290
LOC105376118	0	0	0	0
LOC107987088	0	1	6	8
LOC105376119	0	0	0	0
LOC105376121	0	0	0	0
LOC101927603	2	3	9	15
AGTPBP1	824	711	1577	1392
LOC102724057	5	2	14	14
LOC389765	43	43	57	75
NAA35	1925	1670	2029	2057
GOLM1	4764	3714	4146	4261
LOC101927623	1	1	2	3
C9orf153	0	0	0	0
ISCA1	741	637	849	804
TUT7	1088	903	1400	1320
LOC102724080	0	0	0	0
LOC105376123	0	0	2	0
LINC02834	0	0	0	0
GAS1	37	49	73	67
GAS1RR	0	2	2	3
LINC02893	3	1	21	20
NFYCP2	0	1	1	1
LINC02872	0	1	4	3
LOC105376126	0	0	0	1
LOC107987090	0	0	0	0
LOC105376127	0	0	0	0
DAPK1	1	4	78	85
DAPK1-IT1	0	0	0	1
CTSL	1320	967	1594	1519
CTSL3P	0	0	0	0
LOC112267903	0	0	0	0
CTSLP8	0	0	0	0
LOC392364	0	0	0	0
LOC107987091	0	0	1	1
LOC497256	0	0	0	0
SPATA31E1	0	0	1	0
SPATA31C1	0	0	0	0
LOC122394732	0	0	0	0
CDK20	109	79	143	150
LOC105376131	0	0	1	1
LOC102724156	7	11	4	2
SPATA31C2	0	0	0	2
SPIN1	3738	2881	3974	3887
LOC105376134	12	16	31	40
NXNL2	82	62	135	119
LINC02843	0	0	0	0
LOC105376135	0	0	0	0
MIR4289	0	0	0	0
S1PR3	0	0	0	0
SHC3	66	59	94	97
LOC105376136	3	0	2	6
CKS2	4662	3594	2834	2768
MIR3153	6	5	8	5
SECISBP2	1274	1004	1507	1534
SEMA4D	1230	998	1089	1152
LOC105376137	0	0	0	0
LOC105376139	1	2	12	8
GADD45G	42	34	108	96
LOC100129066	0	0	0	0
LOC105376140	0	0	0	0
LOC107987032	0	0	0	0
LOC101927823	0	0	0	0
LOC101927847	0	0	0	0
MIR4290HG	0	0	0	0
MIR4290	0	0	0	0
LOC105376142	0	0	0	0
LINC01508	8	7	24	27
LINC01501	0	0	1	0
DIRAS2	80	71	223	240
SYK	13713	10779	24006	24365
LOC105379829	0	5	1	1
LOC105376143	0	0	0	0
LINC02937	10	9	15	12
LINC02957	0	0	0	1
LOC100129316	7	3	15	4
LINC00484	0	0	2	1
AUH	687	448	593	643
NFIL3	460	357	698	726
LOC105376146	2	4	5	8
MIR3910-1	0	0	0	0
MIR3910-2	0	0	0	0
LOC105376147	0	0	0	0
ROR2	552	463	862	865
LOC101927935	2	2	6	3
LOC105376148	0	0	0	0
LOC107987094	0	0	1	0
SPTLC1	4042	3294	4061	3819
LOC100128076	7	3	31	33
LINC00475	1	0	0	0
LOC112268047	22	19	33	35
LOC112268048	0	0	0	0
IARS1	9730	7846	5510	5428
MIR3651	1	0	0	0
SNORA84	1	0	0	0
NOL8	2822	2322	1785	1765
CENPP	195	138	185	182
OGN	0	0	0	1
OMD	1	0	0	0
ASPN	0	0	0	0
ECM2	0	0	1	1
MIR4670	0	0	0	0
IPPK	288	204	245	267
LOC100128361	0	0	0	0
LOC107987095	100	66	102	112
BICD2	2438	1983	2534	2573
LOC101929748	0	1	12	11
ANKRD19P	14	7	18	13
ZNF484	183	175	236	243
LOC642943	0	0	0	0
FGD3	31	30	80	88
LOC101927954	0	0	0	0
SUSD3	52	50	16	28
LOC101927993	0	0	0	0
CARD19	652	458	710	677
NINJ1	988	710	1379	1556
WNK2	688	527	504	547
C9orf129	1	0	0	0
LOC107987097	47	40	112	91
FAM120AOS	1854	1464	2351	2389
FAM120A	7902	6238	5678	5858
PHF2	1552	1181	2090	2172
MIR548AU	0	0	0	0
MIR4291	0	0	0	0
LOC101928014	0	0	0	0
BARX1	2	0	4	3
BARX1-DT	0	0	1	1
PTPDC1	386	315	509	510
LOC107987099	0	0	0	1
MIRLET7A1HG	8	8	17	14
MIRLET7A1	0	0	0	0
MIRLET7F1	1	0	0	1
LINC02603	58	57	110	86
MIRLET7D	9	11	12	12
ZNF169	76	70	84	78
LOC105376154	2	6	3	4
NUTM2F	0	1	1	0
LOC100132077	2	0	3	2
MFSD14B	2694	2102	2995	2909
LOC107987100	1	0	2	1
PCAT7	47	38	90	95
FBP2	10	2	4	5
FBP1	10	9	52	46
LOC107987101	1	0	2	5
AOPEP	5418	4323	7896	7691
MIR2278	0	0	0	1
LOC101928119	13	8	17	19
MIR6081	1	0	0	0
MIR23B	0	0	0	0
MIR27B	0	0	0	0
MIR3074	0	0	0	0
MIR24-1	0	0	0	0
FANCC	846	709	859	828
LOC107987102	5	4	6	4
LOC105376155	8	8	12	15
LOC105376156	172	144	196	170
PTCH1	3891	3280	3399	3721
LOC100507346	4	6	6	6
LOC105376157	0	0	0	0
LOC105376158	0	0	0	0
LOC112268049	0	2	3	2
LOC105376161	206	181	103	113
ERCC6L2-AS1	231	183	261	231
LOC107987103	1	0	1	0
ERCC6L2	1585	1325	1940	1928
LINC00092	5	6	11	15
LOC105376159	0	0	0	0
LOC158435	0	0	0	0
LOC158434	0	0	0	0
LOC112268039	0	0	0	0
LOC107987033	0	0	0	0
HSD17B3	2	1	5	4
HSD17B3-AS1	0	0	0	0
